"vendor_name","pickup_datetime","dropoff_datetime","passenger_count","trip_distance","pickup_longitude","pickup_latitude","rate_code","store_and_fwd","dropoff_longitude","dropoff_latitude","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","total_amount","improvement_surcharge","congestion_surcharge","pickup_location_id","dropoff_location_id","month"
"CMT",2021-01-24 20:30:53.000,2021-01-24 20:37:15.000,1,1,,,"Standard rate","No",,,"Cash",6.5,2.5,0.5,0,0,9.8,0.3,2.5,262,140,1
"VTS",2021-01-20 19:43:01.000,2021-01-20 19:52:22.000,1,1.37,,,"Standard rate","No",,,"Cash",7,1,0.5,0,0,11.3,0.3,2.5,229,163,1
"VTS",2021-01-12 11:36:47.000,2021-01-12 11:46:52.000,2,1.38,,,"Standard rate","No",,,"Cash",8.5,0,0.5,0,0,11.8,0.3,2.5,142,161,1
"VTS",2021-01-22 14:41:39.000,2021-01-22 14:48:36.000,1,1.22,,,"Standard rate","No",,,"Cash",6.5,0,0.5,0,0,9.8,0.3,2.5,211,261,1
"VTS",2021-01-11 13:19:51.000,2021-01-11 13:26:43.000,1,1.23,,,"Standard rate","No",,,"Credit card",7,0,0.5,1,0,11.3,0.3,2.5,236,142,1
"VTS",2021-01-14 15:25:24.000,2021-01-14 15:32:47.000,1,0.88,,,"Standard rate","No",,,"Credit card",6.5,0,0.5,1.96,0,11.76,0.3,2.5,236,75,1
"VTS",2021-01-01 08:45:48.000,2021-01-01 08:54:29.000,5,1.11,,,"Standard rate","No",,,"Cash",7.5,0,0.5,0,0,10.8,0.3,2.5,90,246,1
"CMT",2021-01-02 17:30:08.000,2021-01-02 17:41:18.000,2,1.5,,,"Standard rate","No",,,"Credit card",9,2.5,0.5,2.45,0,14.75,0.3,2.5,164,224,1
"CMT",2021-01-31 10:12:22.000,2021-01-31 10:18:50.000,1,2.4,,,"Standard rate","No",,,"Credit card",8.5,2.5,0.5,2.35,0,14.15,0.3,2.5,163,90,1
"VTS",2021-01-18 09:55:10.000,2021-01-18 10:06:28.000,1,1.47,,,"Standard rate","No",,,"Cash",9.5,0,0.5,0,0,12.8,0.3,2.5,237,262,1
"CMT",2021-01-27 15:21:00.000,2021-01-27 15:51:58.000,1,5.8,,,"Standard rate","No",,,"Credit card",22.5,2.5,0.5,3,0,28.8,0.3,2.5,234,40,1
"VTS",2021-01-28 11:15:21.000,2021-01-28 11:22:38.000,4,0.78,,,"Standard rate","No",,,"Credit card",6,0,0.5,1.86,0,11.16,0.3,2.5,249,90,1
"CMT",2021-01-13 16:52:14.000,2021-01-13 17:06:58.000,2,2.9,,,"Standard rate","No",,,"Cash",12,3.5,0.5,0,0,16.3,0.3,2.5,68,229,1
"VTS",2021-01-21 11:21:54.000,2021-01-21 11:22:57.000,2,0.34,,,"Standard rate","No",,,"Credit card",3,0,0.5,1.26,0,7.56,0.3,2.5,237,237,1
"VTS",2021-01-28 13:34:06.000,2021-01-28 13:51:54.000,1,1.54,,,"Standard rate","No",,,"Credit card",12,0,0.5,3,0,18.3,0.3,2.5,75,237,1
"VTS",2021-01-28 15:16:15.000,2021-01-28 15:32:09.000,1,2.02,,,"Standard rate","No",,,"Credit card",11.5,0,0.5,2.96,0,17.76,0.3,2.5,236,162,1
